"articulos"	"rubro"	"subrubro"	"subsubrubro"	"familia"
"Flauta grande o familiar"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan francés,o flauta común"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Baguette"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan catalán"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Felipe"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Marsellés"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Miñón"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Porteño"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan de pita"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan integral de molde"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Flauta integral"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Miñón integral"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Tortuga"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan de pancho,de Viena"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pebetes"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan casero"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Galleta de campaña chica"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Galleta de campaña grande"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan empaquetado blanco (Pan Americano) Paquete chico"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan empaquetado blanco,paquete grande"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan Integral o de Salvado en paquete chico"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan Integral o de Salvado en paquete grande"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan de Tortuga envasado"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan de Pancho,de Viena envasado"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pebetes envasados"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan  de Pita,envasado"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Bizcochos  comunes"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Bizcochos de manteca"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Bizcochos secos:,coquitos plantillas polvorones"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Borlas o ""bolas"" de fraile"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Masitas"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Merengues"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pionono"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Bizcochuelo entero"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Torta dulce entera rellena"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Tarta de frutas entera"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Saladitos"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Galletas marina y malteada,saladas,integrales,grisines envasados"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Galletitas dulces,waffles,barquillos"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Alfajores chicos"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Alfajores grandes,(comunes)"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Alfajores extra grandes"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan rallado"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Pan Dulce , Budín inglés"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Rosca dulce o salada"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
"Panes especiales saborizados (ajo, cebolla, etc.)"	"ALIMENTOS Y BEBIDAS NO ALCOHOLICAS"	"Alimentos"	"PAN Y CEREALES"	"Productos de Panadería"
