"COUNTRY"	"IDENT"	"REGION"	"DENSITY"	"URBAN"	"LIFEEXPF"	"LIFEEXPM"	"LITERACY"	"POP_INCR"	"BABYMORT"	"GDP_CAP"	"BIRTH_RT"	"DEATH_RT"	"B_TO_D"	"FERTILTY"	"CROPGROW"
"Afghanistan"	1	3	25	18	44	45	29	2.8	168	205	53	22	2.41	6.9	12
"Argentina"	2	6	12	86	75	68	95	1.3	25.6	3408	20	9	2.22	2.8	9
"Armenia"	3	5	126	68	75	68	98	1.4	27	5000	23	6	3.83	3.2	17
"Australia"	4	1	2.3	85	80	74	100	1.4	7.3	16848	15	8	1.88	1.9	6
"Austria"	5	1	94	58	79	73	99	0.2	6.7	18396	12	11	1.09	1.5	17
"Azerbaijan"	6	5	86	54	75	67	98	1.4	35	3000	23	7	3.29	2.8	18
"Bahrain"	7	5	828	83	74	71	77	2.4	25	7875	29	4	7.25	4	2
"Bangladesh"	8	3	800	16	53	53	35	2.4	106	202	35	11	3.18	4.7	67
"Barbados"	9	6	605	45	78	73	99	0.2	20.3	6950	16	8	1.9	1.8	77
"Belarus"	10	2	50	65	76	66	99	0.3	19	6500	13	11	1.18	1.9	29
"Belgium"	11	1	329	96	79	73	99	0.2	7.2	17912	12	11	1.09	1.7	24
"Bolivia"	12	6	6.9	51	64	59	78	2.7	75	730	34	9	3.78	4.2	3
"Bosnia"	13	2	87	36	78	72	86	0.7	12.7	3098	14	6	2.19		20
"Botswana"	14	4	2.4	25	66	60	72	2.7	39.3	2677	32	8	4	5.1	2
"Brazil"	15	6	18	75	67	57	81	1.3	66	2354	21	9	2.33	2.7	7
"Bulgaria"	16	2	79	68	75	69	93	-0.2	12	3831	13	12	1.08	1.8	34
"Burkina Faso"	17	4	36	15	50	47	18	2.8	118	357	47	18	2.61	6.9	10
"Burundi"	18	4	216	5	50	46	50	2.3	105	208	44	21	2.1	6.8	43
"Cambodia"	19	3	55	12	52	50	35	2.9	112	260	45	16	2.81	5.8	16
"Cameroon"	20	4	27	40	58	55	54	2.9	77	993	41	12	3.42	5.7	13
"Canada"	21	1	2.8	77	81	74	97	0.7	6.8	19904	14	8	1.75	1.8	5
"Cent. Afri.R"	22	4	5	47	44	41	27	2.4	137	457	44	21	2.1	5.4	3
"Chile"	23	6	18	85	78	71	93	1.7	14.6	2591	23	6	3.83	2.5	7
"China"	24	3	124	26	69	67	78	1.1	52	377	21	7	3	1.8	10
"Colombia"	25	6	31	70	75	69	87	2	28	1538	24	6	4	2.5	4
"Costa Rica"	26	6	64	47	79	76	93	2.3	11	2031	26	4	6.5	3.1	6
"Croatia"	27	2	85	51	77	70	97	-0.1	8.7	5487	11	11	1	1.7	32
"Cuba"	28	6	99	74	78	74	94	1	10.2	1382	17	7	2.43	1.9	23
"Denmark"	29	1	120	85	79	73	99	0.1	6.6	18277	12	12	1	1.7	61
"Domincan R."	30	6	159	60	70	66	83	1.8	51.5	1034	25	6	4.17	2.8	23
"Ecuador"	31	6	39	56	73	67	88	2	39	1085	26	6	4.33	3.1	6
"Egypt"	32	5	57	44	63	60	48	2	76.4	748	29	9	3.22	3.8	3
"El Salvador"	33	6	246	44	69	64	73	2	41	1078	33	7	4.71	3.8	27
"Estonia"	34	2	36	72	76	67	99	0.5	19	6000	14	12	1.17	2	22
"Ethiopia"	35	4	47	12	54	51	24	3.1	110	122	45	14	3.21	6.8	12
"Finland"	36	1	39	60	80	72	100	0.3	5.3	15877	13	10	1.3	1.8	8
"France"	37	1	105	73	82	74	99	0.5	6.7	18944	13	9	1.4	1.8	32
"Gabon"	38	4	4.2	46	58	52	61	1.5	94	4283	28	14	2	4	1
"Gambia"	39	4	86	23	52	48	27	3.1	124	351	46	16	2.88	6.3	16
"Germany"	40	1	227	85	79	73	99	0.4	6.5	17539	11	11	1	1.5	34
"Greece"	41	1	80	63	80	75	93	0.8	8.2	8060	10	10	1	1.5	23
"Guatemala"	42	6	97	39	67	62	55	2.6	57	1342	35	8	4.38	4.8	12
"Haiti"	43	6	231	29	47	43	53	1.6	109	383	40	19	2.11	5.9	20
"Honduras"	44	6	46	44	70	65	73	2.7	45	1030	35	6	5.83	4.9	14
"Hong Kong"	45	3	5494	94	80	75	77	-0.1	5.8	14641	13	6	2.17	1.4	7
"Hungary"	46	2	111	64	76	67	99	-0.3	12.5	5249	12	13	0.92	1.8	51
"Iceland"	47	1	2.5	91	81	76	100	1.1	4	17241	16	7	2.29	2.1	1
"India"	48	3	283	26	59	58	52	1.9	79	275	29	10	2.9	4.5	55
"Indonesia"	49	3	102	29	65	61	77	1.6	68	681	24	9	2.67	2.8	8
"Iran"	50	5	39	57	67	65	54	3.5	60	1500	42	8	5.25	6.3	8
"Iraq"	51	5	44	72	68	65	60	3.7	67	1955	44	7	6.29	6.7	12
"Ireland"	52	1	51	57	78	73	98	0.3	7.4	12170	14	9	1.56	2	14
"Israel"	53	5	238	92	80	76	92	2.2	8.6	13066	21	7	3	2.8	17
"Italy"	54	1	188	69	81	74	97	0.2	7.6	17500	11	10	1.1	1.3	32
"Japan"	55	3	330	77	82	76	99	0.3	4.4	19860	11	7	1.57	1.6	13
"Jordan"	56	5	42	68	74	70	80	3.3	34	1157	39	5	7.8	5.6	4
"Kenya"	57	4	49	24	55	51	69	3.1	74	323	42	11	3.82	5.9	3
"Kuwait"	58	5	97	96	78	73	73	5.2	12.5	6818	28	2	14	4	0
"Latvia"	59	2	40	71	75	64	99	0.5	21.5	7400	14	12	1.17	2	27
"Lebanon"	60	5	343	84	71	67	80	2	39.5	1429	27	7	3.86	3.4	21
"Liberia"	61	4	29	45	57	54	40	3.3	113	409	43	12	3.58	6.8	1
"Libya"	62	5	2.8	82	65	62	64	3.7	63	5910	45	8	5.63	6.4	2
"Lithuania"	63	2	58	69	77	68	99	0.3	17	6710	15	10	1.5	2	49
"Malaysia"	64	3	58	43	72	66	78	2.3	25.6	2995	29	5	5.8	3.5	3
"Mexico"	65	6	46	73	77	69	87	1.9	35	3604	28	5	5.6	3.2	12
"Morocco"	66	4	63	46	70	66	50	2.1	50	1062	29	6	4.83	3.8	18
"N. Korea"	67	3	189	60	73	67	99	1.8	27.7	1000	24	6	4.36	2.4	18
"Netherlands"	68	1	366	89	81	75	99	0.6	6.3	17245	13	9	1.44	1.6	26
"New Zealand"	69	1	13	84	80	73	99	0.6	8.9	14381	16	8	2	2	2
"Nicaragua"	70	6	33	60	67	61	57	2.7	52.5	447	35	7	5	4.3	9
"Nigeria"	71	4	102	35	57	54	51	3.1	75	282	44	12	3.67	6.4	31
"Norway"	72	1	11	75	81	74	99	0.4	6.3	17755	13	10	1.3	2	3
"Pakistan"	73	3	143	32	58	57	35	2.8	101	406	42	10	4.2	6.4	26
"Panama"	74	6	34	53	78	71	88	1.9	16.5	2397	25	5	5	2.9	6
"Paraguay"	75	6	11	48	75	72	90	2.7	25.2	1500	33	5	7.33	4.3	20
"Peru"	76	6	18	70	67	63	85	2	54	1107	26	7	3.71	3.1	3
