Código,Nombre,Área del conocimiento,Créditos,Carácter,las hizo alguien de plan nuevo?
141,Historia Contemp. de AL (FCS),Social,10,Opcional,Eco14
S42,Historia Contemp. de AL (FCS),Social,10,Opcional,Eco15'
462,Series Cronológicas I,MMCC,10,Opcional,Eco13
114A,Cálculo I/A,MMCC,5,Obligatoria,Eco13_julio
118,Estadística descriptiva,MMCC,10,Opcional,Eco15'
128A,Cálculo I/B,MMCC,5,Obligatoria,Eco12
173,Bases teóricas del desarrollo (FCS),Social,10,Opcional,Eco13
529R,Econ. Y Ges. De Org. De Salud,,,Opcional,Eco14
803,Estadistica Ec. Introduc. A Econometria,,,Opcional,Eco16
804,Econ. Do Sector Publico,,,Opcional,Eco16
805,Economia das tics,,,Opcional,Eco16
815,Intod. to the middle east (E.M),,,Opcional,Eco13
816,Comunis. In E. and C. Europe (E.M),,,Opcional,Eco13
817,"Pop, settle, and ec. geography (E.M)",,,Opcional,Eco13
818,Ec. Hist - Swedish ec. development (E.M),,,Opcional,Eco13
830,Inst. Politicas Cruz del Sur (Rec.),,,Opcional,Eco14
831,Eco. Sect. Publico I Cruz del Sur (Rec.),,,Opcional,Eco14
A10,Adm. y Gestión de las Org. I,Administración,10,Obligatoria,Eco16
A10E,Adm. y Gestión de las Org. I,Administración,10,Obligatoria,Eco13
A20,Adm. y Gestión de las Org. II,Administración,10,Opcional,Eco16
A20R,Adm. y Gestión de las Org. II,Administración,10,Opcional,#N/A
A30,Procesos y sistemas de la información,Administración,10,Opcional,Eco15'
A30R,Procesos y sistemas de la información,Administración,10,Opcional,Eco13
A40,Administración de recursos humanos,Administración,10,Opcional,Eco14
A41,Sistemas de información,Administración,10,Opcional,Eco13
A42,Diseño Organizacional,Administración,10,Opcional,Eco13
A61,Marketing Básico,Administración,10,Opcional,Eco14
A62,Gestión de la innovación y la tecnología,Administración,10,Opcional,Eco13
A63,Comercio internacional,Administración,10,Opcional,Eco13
A64,Taller de selecc. y capacit. de personal,Administración,10,Opcional,Eco13
A65,Introd. al emprendedurismo ,Administración,5,Opcional,Eco13
A66,Gestión de proyectos,Administración,5,Opcional,Eco13
A67,Gestión financiera del Estado,Administración,10,Opcional,Eco14
A70,Comportamiento Organizacional,Administración,10,Opcional,Eco13
A71,Finanzas Corporativas,Administración,10,Opcional,Eco14
A72,Marketing Estrategico,Administración,10,Opcional,Eco14
A73,Admin. y gestión de empresas familiares,Administración,5,Opcional,Eco13
A75,Administración de operaciones,Administración,,Opcional,Eco13
A80,Dirección estratégica de empresas,Administración,10,Opcional,Eco13
A81,Proyectos de Inversión,Administración,10,Opcional,Eco14
