id;mat;tact;nota;fecha;tgen;gen
4;A10;C;0;28/7/2012;N;2012
4;C10;C;0;4/8/2012;N;2012
4;E10;C;0;21/7/2012;N;2012
4;MC10;C;0;14/7/2012;N;2012
6;A10;C;6;3/8/2013;N;2013
6;C10;C;0;13/7/2013;N;2013
6;C10;E;0;2/12/2013;N;2013
6;C10;E;6;27/1/2014;N;2013
6;E10;C;0;27/7/2013;N;2013
6;E10;E;0;30/1/2014;N;2013
6;E10;E;4;20/2/2014;N;2013
6;E20;C;8;14/12/2013;N;2013
6;E30;C;0;7/7/2015;N;2013
6;E30;C;0;20/7/2016;N;2013
6;E30;E;0;20/7/2016;N;2013
6;E33;C;7;2/8/2014;N;2013
6;MC10;C;0;20/7/2013;N;2013
6;MC10;C;0;16/7/2016;N;2013
6;MC10;E;0;26/2/2015;N;2013
6;MC10;E;0;28/1/2016;N;2013
6;MC10;E;0;8/12/2016;N;2013
6;MC20;C;0;7/12/2013;N;2013
6;MC20;C;6;13/12/2014;N;2013
6;MC20;E;0;17/7/2014;N;2013
6;S20;C;0;26/11/2013;N;2013
6;S20;C;0;8/12/2014;N;2013
6;S20;C;0;15/12/2016;N;2013
6;S20;E;0;27/1/2015;N;2013
6;S20;E;0;20/7/2015;N;2013
6;S20;E;0;25/2/2016;N;2013
6;S21;C;0;2/12/2013;N;2013
6;S21;C;7;20/12/2016;N;2013
6;S40;C;0;21/7/2015;N;2013
6;S40;C;0;4/8/2016;N;2013
7;A10;C;0;28/7/2012;N;2012
7;C10;C;0;4/8/2012;N;2012
7;E10;C;0;21/7/2012;N;2012
9;A10;C;9;3/8/2013;N;2013
9;C10;C;0;13/7/2013;N;2013
9;C10;C;0;19/7/2014;N;2013
9;C10;C;0;25/7/2015;N;2013
9;C10;C;0;6/8/2016;N;2013
9;C10;E;0;12/12/2015;N;2013
9;E10;C;0;27/7/2013;N;2013
9;E10;C;8;2/8/2014;N;2013
9;E20;C;0;14/12/2013;N;2013
9;E20;C;0;28/11/2015;N;2013
9;E20;C;0;10/12/2016;N;2013
9;MC10;C;0;20/7/2013;N;2013
9;MC10;C;0;1/8/2015;N;2013
9;MC10;C;0;16/7/2016;N;2013
9;MC20;C;0;13/12/2014;N;2013
9;S20;C;9;8/12/2014;N;2013
9;S21;C;0;8/12/2015;N;2013
9;S90;C;0;25/11/2013;N;2013
11;A10;C;9;3/8/2013;N;2013
11;C10;C;0;13/7/2013;N;2013
11;C10;C;0;19/7/2014;N;2013
11;E10;C;9;27/7/2013;N;2013
11;E20;C;8;14/12/2013;N;2013
11;E30;C;7;16/7/2014;N;2013
11;E40;C;0;2/12/2014;N;2013
11;MC10;C;0;20/7/2013;N;2013
11;MC10;C;0;26/7/2014;N;2013
11;MC20;C;0;13/12/2014;N;2013
11;S20;C;9;26/11/2013;N;2013
11;S21;C;9;2/12/2013;N;2013
11;S30;C;0;8/7/2014;N;2013
11;S40;C;10;17/7/2014;N;2013
11;S42;C;12;22/11/2014;N;2013
16;A10;C;6;3/8/2013;N;2013
