id;gen;plan;cred1;cred1y2;cred1.2y3;cred1234;nac_lug;otros_univ;ocup_rel;sit_labNT;horas;sexto;edad;edad_t;Xfem;Xhijos;Xocup;XeduP;XeduM;XocuP;XocuM;tratamiento;inst;EDA;MC.EDA;carr04;carr11;carr12;carr14;fecing4;fecing11;fecing12;fecing14;fecingEDA;julio;EDAoMCEDA;Xnac_lug;Xhoras;XeduM_num;XeduP_num;Xedu_H;Xsexto;cred1_prop;cred1_2012;cred1y2_prop;cred1y2_2012;cred1.2y3_prop;cred1.2y3_2012;cred1234_prop;cred1234_2012
4;2012;3. Plan 12   ;0;0;0;0;Montevideo;Si posee;Está muy relacionada;No corresponde;Trabaja más de 40 hrs semanales;Montevideo Privada;33;t31y+;0;0;1;1;2;No trabaja;No trabaja;1;26;0;0;0;0;1;0;NA;NA;7/3/2012;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;2;1;2;Montevideo Privada;0;0;0;0;0;0;0;0
6;2013;3. Plan 12   ;40;60;60;80;Montevideo;No posee;No está relacionada;No corresponde;Trabaja más de 40 hrs semanales;Interior Publica;44;t31y+;1;1;1;1;2;No trabaja;No trabaja;1;140;0;0;0;0;1;0;NA;NA;21/2/2013;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;2;1;2;Interior Publica;0.444444444444444;40;0.333333333333333;60;0.222222222222222;60;0.222222222222222;80
7;2012;3. Plan 12   ;0;0;0;0;Montevideo;Si posee;Está muy relacionada;No corresponde;Trabaja de 31 a 40 hrs semanales;Montevideo Publica;32;t31y+;0;0;1;1;1;Asalariado;Cuenta propia;1;668;0;0;0;0;1;0;NA;NA;16/2/2012;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;1;1;1;Montevideo Publica;0;0;0;0;0;0;0;0
9;2013;3. Plan 12   ;10;30;30;30;Montevideo;No posee;Está parcialmente relacionada;No corresponde;Trabaja de 31 a 40 hrs semanales;Montevideo Publica;39;t31y+;0;1;1;1;1;No trabaja;Cuenta propia;1;62;0;0;0;0;1;0;NA;NA;5/3/2013;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;1;1;1;Montevideo Publica;0.111111111111111;10;0.166666666666667;30;0.111111111111111;30;0.0833333333333333;30
11;2013;3. Plan 12   ;50;80;80;80;Maldonado;Si posee;Está parcialmente relacionada;No corresponde;Trabaja de 10 a 20 hrs semanales;Interior Publica;33;t31y+;1;1;1;2;2;Asalariado;No trabaja;1;354;0;0;0;0;1;0;NA;NA;19/2/2013;NA;NA;0;0;Interior;Trabaja menos de 30 horas;2;2;2;Interior Publica;0.555555555555556;50;0.444444444444444;80;0.296296296296296;80;0.222222222222222;80
16;2013;3. Plan 12   ;40;70;80;80;Paysandú;Si posee;No corresponde;Busca trabajo por primera vez;No corresponde;Interior Publica;30;t27.30;0;0;0;2;2;Asalariado;Asalariado;1;505;0;0;0;1;1;1;NA;5/2/2013;5/2/2013;5/2/2013;NA;0;0;Interior;No trabaja;2;2;2;Interior Publica;0.444444444444444;40;0.388888888888889;70;0.296296296296296;80;0.222222222222222;80
17;2013;3. Plan 12   ;10;10;40;40;Montevideo;No posee;Está poco relacionada;No corresponde;Trabaja más de 40 hrs semanales;Montevideo Publica;30;t27.30;0;1;1;NA;3;Sin dato;Asalariado;1;84;0;0;0;0;1;1;NA;NA;4/3/2013;4/3/2013;NA;0;0;Montevideo;Trabaja mas de 30 horas;3;NA;3;Montevideo Publica;0.111111111111111;10;0.0555555555555556;10;0.148148148148148;40;0.111111111111111;40
18;2013;3. Plan 12   ;20;20;20;20;Montevideo;Si posee;No corresponde;Trabajó y busca trabajo;No corresponde;Montevideo Privada;30;t27.30;0;0;0;3;3;No trabaja;Asalariado;1;404;0;0;0;0;1;0;NA;NA;14/2/2013;NA;NA;0;0;Montevideo;No trabaja;3;3;3;Montevideo Privada;0.222222222222222;20;0.111111111111111;20;0.0740740740740741;20;0.0555555555555556;20
19;2013;3. Plan 12   ;10;20;40;55;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Publica;29;t27.30;0;0;0;2;2;Asalariado;Asalariado;1;62;0;0;0;1;1;1;NA;22/2/2013;22/2/2013;7/2/2017;NA;0;0;Montevideo;No trabaja;2;2;2;Montevideo Publica;0.111111111111111;10;0.111111111111111;20;0.148148148148148;40;0.152777777777778;55
24;2013;3. Plan 12   ;0;0;0;0;Montevideo;Si posee;Está parcialmente relacionada;No corresponde;Trabaja más de 40 hrs semanales;UTU Montevideo;39;t31y+;0;1;1;2;1;Asalariado;Cuenta propia;1;194;0;0;0;0;1;0;NA;NA;4/3/2013;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;1;2;2;Montevideo Publica;0;0;0;0;0;0;0;0
27;2013;3. Plan 12   ;0;0;0;0;Soriano;No posee;Está poco relacionada;No corresponde;Trabaja más de 40 hrs semanales;Montevideo Publica;29;t27.30;1;0;1;2;1;Asalariado;Cuenta propia;1;62;0;0;0;0;1;0;NA;NA;6/3/2013;NA;NA;0;0;Interior;Trabaja mas de 30 horas;1;2;2;Montevideo Publica;0;0;0;0;0;0;0;0
28;2013;3. Plan 12   ;0;0;0;0;Montevideo;Si posee;Está muy relacionada;No corresponde;Trabaja de 21 a 30 hrs semanales;Montevideo Publica;39;t31y+;1;1;1;1;2;No trabaja;No trabaja;1;322;0;0;0;0;1;0;NA;NA;4/3/2013;NA;NA;0;0;Montevideo;Trabaja menos de 30 horas;2;1;2;Montevideo Publica;0;0;0;0;0;0;0;0
29;2013;3. Plan 12   ;20;60;90;110;Rocha;No posee;Está parcialmente relacionada;No corresponde;Trabaja más de 40 hrs semanales;Interior Publica;29;t27.30;0;1;1;1;3;Asalariado;Asalariado;1;104;0;0;0;1;1;0;NA;19/2/2013;19/2/2013;NA;NA;0;0;Interior;Trabaja mas de 30 horas;3;1;3;Interior Publica;0.222222222222222;20;0.333333333333333;60;0.333333333333333;90;0.305555555555556;110
32;2012;3. Plan 12   ;70;130;150;170;Montevideo;Si posee;Está bastante relacionada;No corresponde;Trabaja más de 40 hrs semanales;Montevideo Publica;33;t31y+;0;0;1;2;3;Asalariado;No trabaja;1;666;0;0;0;0;1;0;NA;NA;7/2/2012;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;3;2;3;Montevideo Publica;0.777777777777778;70;0.722222222222222;130;0.555555555555556;150;0.472222222222222;170
33;2012;3. Plan 12   ;10;10;10;10;Montevideo;No posee;No está relacionada;No corresponde;Trabaja menos de 10 hrs semanales;Montevideo Publica;28;t27.30;1;0;1;3;2;Asalariado;Asalariado;1;501;0;0;0;0;1;0;NA;NA;6/3/2012;NA;NA;0;0;Montevideo;Trabaja menos de 30 horas;2;3;3;Montevideo Publica;0.111111111111111;10;0.0555555555555556;10;0.037037037037037;10;0.0277777777777778;10
34;2012;3. Plan 12   ;40;70;100;120;Montevideo;Si posee;No está relacionada;No corresponde;Trabaja menos de 10 hrs semanales;Montevideo Publica;26;t23.26;0;0;1;2;1;Cuenta propia;Asalariado;1;62;0;0;0;1;1;0;NA;7/3/2012;7/3/2012;NA;NA;0;0;Montevideo;Trabaja menos de 30 horas;1;2;2;Montevideo Publica;0.444444444444444;40;0.388888888888889;70;0.37037037037037;100;0.333333333333333;120
38;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;Está poco relacionada;No corresponde;Trabaja más de 40 hrs semanales;Montevideo Publica;27;t27.30;1;1;1;2;2;Asalariado;Asalariado;1;61;0;0;0;0;1;0;NA;NA;10/2/2012;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;2;2;2;Montevideo Publica;0;0;0;0;0;0;0;0
39;2012;3. Plan 12   ;0;0;0;0;Montevideo;Si posee;Está muy relacionada;No corresponde;Trabaja de 31 a 40 hrs semanales;Montevideo Publica;25;t23.26;1;0;1;1;1;Asalariado;Asalariado;1;668;0;0;0;0;1;0;NA;NA;14/2/2012;NA;NA;0;0;Montevideo;Trabaja mas de 30 horas;1;1;1;Montevideo Publica;0;0;0;0;0;0;0;0
