"jefe"	 "desemp"	 "size"	 "tparcial"	 "multiemp"	 "privado"	 "publico"	 "cpsl"	 "cpcl"	 "profytec"	 "oficina"	 "manual"	 "indust"	 "comercio"	 "sfinan"	 "sperson"	 "subemp"	 "precario"	 "ingreso"	 "Comp.1"	 "Comp.2"	 "norma"	 "Cos 1"	 "Cos 2"
78,63	 4,74	 38,52	 4,71	 7,33	 47,29	 22,76	 12,43	 13,47	 0,52	 1,77	 51,28	 15,7	 14,45	 0,98	 5,43	 4,12	 17,72	 2,12	 35,1418898799992	 -42,770515794016	 3471,30113945679	 0,355760671496003	 0,882743767400047
13,16	 9,33	 37,24	 26,87	 11,88	 47,05	 23,37	 3,43	 18,66	 11,24	 24,64	 12,68	 14,43	 24,24	 4,63	 17,54	 6,54	 18,02	 2,05	 -13,0725261780379	 20,5421250806418	 1496,59012612346	 0,114186868998085	 0,396147103442345
2,54	 21,1	 32,21	 22,69	 5,32	 73,39	 10,08	 3,64	 9,8	 7,56	 20,87	 12,04	 15,27	 32,35	 6,16	 24,65	 10,92	 38,94	 1,24	 -45,3664968411018	 12,3683411912283	 3298,73988223457	 0,623910677746293	 0,670284708219714
33,2	 4,23	 52,76	 38,81	 7,32	 47,65	 6,22	 5,66	 32,18	 1,66	 3,45	 21,27	 21,55	 23,76	 0,55	 38,54	 3,45	 24,59	 1,3	 -16,4025883725703	 -10,8250004532373	 2120,5818055679	 0,126873155571533	 0,182131874902667
92,68	 3,5	 50,1	 12,83	 4,54	 35,26	 21,52	 14,45	 22,23	 0,78	 5,96	 41,09	 14,97	 14,84	 1,62	 10,3	 3,31	 10,43	 2,1	 46,3782336794824	 -43,6311985984686	 4318,04037945679	 0,498128866386206	 0,93899586248838
79,61	 2,91	 36,64	 4,56	 12,87	 38,95	 28,97	 8,37	 15,58	 4,1	 13,79	 40,68	 19,56	 16,45	 5,14	 6,98	 3,23	 8,08	 2,89	 45,815636216237	 -29,0890786809704	 3317,62358667901	 0,632703640740561	 0,887758042302348
16,81	 7,56	 37,27	 21,82	 18,18	 42,73	 27,27	 4,55	 19,09	 34,55	 24,55	 7,27	 12,73	 14,55	 14,55	 0	 7,27	 2,73	 3,19	 10,0435666033949	 40,4395861138494	 2522,24595501235	 0,0399934153591832	 0,688367980817228
16,19	 13,46	 29,2	 25,35	 9,09	 71,85	 5,59	 4,02	 13,99	 1,75	 4,37	 17,83	 20,8	 17,48	 1,22	 43,36	 12,41	 33,22	 1,92	 -35,9935706637512	 -1,02509951052141	 3018,0872505679	 0,42925767930754	 0,429605856453934
6,92	 19,62	 33,01	 27,27	 3,35	 80,38	 0,96	 4,78	 11,96	 1,44	 3,83	 11,96	 11,48	 20,1	 0,96	 55,98	 10,53	 69,38	 0,99	 -66,9653380554285	 -4,53799914914657	 6936,63865612345	 0,646473994564956	 0,649442786410481
92,13	 3,69	 38,19	 10,47	 11,11	 36,65	 22,09	 8,05	 17,24	 4,98	 17,24	 23,24	 20,05	 21,33	 14,05	 6,77	 2,3	 3,07	 4,48	 52,7542000214864	 -25,4867678021359	 4044,44186890123	 0,688106223334855	 0,848715611244408
