"unidad"	"nombre"	"AÑO"	"JEFE"	"DESEMP"	"udad_anio"	"TAMAÑO"	"TPARCIAL"	"MULTIEMP"	"PRIVADO"	"PÚBLICO"	"CPSL"	"CPCL"	"PROFYTEC"	"OFICINA"	"MANUAL"	"INDUST"	"COMERCIO"	"SFINAN"	"SPERSON"	"SUBEMP"	"PRECARIO"	"INGRESO"
"1"	"u22"	"IH21"	1995	78.63	4.74	"IH211995"	38.52	4.71	7.33	47.29	22.76	12.43	13.47	0.52	1.77	51.28	15.7	14.45	0.98	5.43	4.12	17.72	2.12
"2"	"u32"	"IM22"	1995	13.16	9.33	"IM221995"	37.24	26.87	11.88	47.05	23.37	3.43	18.66	11.24	24.64	12.68	14.43	24.24	4.63	17.54	6.54	18.02	2.05
"3"	"u29"	"IM12"	1995	2.54	21.1	"IM121995"	32.21	22.69	5.32	73.39	10.08	3.64	9.8	7.56	20.87	12.04	15.27	32.35	6.16	24.65	10.92	38.94	1.24
"4"	"u34"	"IM31"	1995	33.2	4.23	"IM311995"	52.76	38.81	7.32	47.65	6.22	5.66	32.18	1.66	3.45	21.27	21.55	23.76	0.55	38.54	3.45	24.59	1.3
"5"	"u25"	"IH31"	1995	92.68	3.5	"IH311995"	50.1	12.83	4.54	35.26	21.52	14.45	22.23	0.78	5.96	41.09	14.97	14.84	1.62	10.3	3.31	10.43	2.1
"6"	"u23"	"IH22"	1995	79.61	2.91	"IH221995"	36.64	4.56	12.87	38.95	28.97	8.37	15.58	4.1	13.79	40.68	19.56	16.45	5.14	6.98	3.23	8.08	2.89
"7"	"u21"	"IH13"	1995	16.81	7.56	"IH131995"	37.27	21.82	18.18	42.73	27.27	4.55	19.09	34.55	24.55	7.27	12.73	14.55	14.55	0	7.27	2.73	3.19
"8"	"u13"	"MM21"	1995	16.19	13.46	"MM211995"	29.2	25.35	9.09	71.85	5.59	4.02	13.99	1.75	4.37	17.83	20.8	17.48	1.22	43.36	12.41	33.22	1.92
"9"	"u28"	"IM11"	1995	6.92	19.62	"IM111995"	33.01	27.27	3.35	80.38	0.96	4.78	11.96	1.44	3.83	11.96	11.48	20.1	0.96	55.98	10.53	69.38	0.99
"10"	"u8"	"MH32"	1995	92.13	3.69	"MH321995"	38.19	10.47	11.11	36.65	22.09	8.05	17.24	4.98	17.24	23.24	20.05	21.33	14.05	6.77	2.3	3.07	4.48
"11"	"u27"	"IH33"	1995	95.96	0	"IH331995"	34.34	14.14	39.39	20.2	34.34	0	20.2	53.54	5.05	5.05	7.07	9.09	17.17	3.03	2.02	1.01	5.55
"12"	"u30"	"IM13"	1995	0.93	12.15	"IM131995"	25.53	46.81	19.15	42.55	41.49	1.6	13.83	61.17	21.81	1.6	3.72	11.17	11.7	4.79	9.04	10.11	2.63
"13"	"u6"	"MH23"	1995	84.62	1.96	"MH231995"	26.77	6.15	39.38	44.31	23.69	2.92	16.92	46	12.46	5.54	14.15	13.38	19.23	2.77	4.62	2.15	7.17
"14"	"u36"	"IM33"	1995	37.14	2.86	"IM331995"	18.63	48.04	18.63	14.71	60.78	3.92	10.78	68.63	11.76	2.94	2.94	9.8	1.96	0.98	1.96	1.96	3.95
"15"	"u14"	"MM22"	1995	18.04	11.61	"MM221995"	28.66	20.49	10.17	55.53	20.12	4.16	13.88	11.14	28.88	16.7	21.53	18.41	5.86	17.52	8.76	13.96	2.61
"16"	"u2"	"MH12"	1995	22.72	11.02	"MH121995"	26.57	7.31	7.14	74.38	10.06	4.56	7.39	3.53	19	41.79	25.02	27.43	6.88	7.82	5.85	14.96	2.42
"17"	"u10"	"MM11"	1995	4.09	24.56	"MM111995"	26.36	22.48	3.88	80.62	3.1	4.65	8.53	0.78	6.2	19.38	20.93	19.38	1.55	47.29	6.98	57.36	1.4
"18"	"u5"	"MH22"	1995	79.13	3.61	"MH221995"	32.48	4.42	14.97	53.51	17.18	6.12	15.42	4.82	15.82	36.34	22.17	19.73	7.6	9.58	5.44	6.69	3.72
"19"	"u35"	"IM32"	1995	30.52	3.9	"IM321995"	48.31	28.04	7.77	31.08	22.97	5.74	28.38	14.19	14.19	18.24	19.59	23.31	2.7	16.55	4.39	7.43	1.97
"20"	"u4"	"MH21"	1995	80.47	5.11	"MH211995"	36.73	6.55	9.24	57.19	12.63	15.67	9.47	0.47	4.8	56.02	23.74	17.66	2.92	7.95	6.55	12.63	2.66
"21"	"u1"	"MH11"	1995	30	17	"MH111995"	31.33	3.61	4.02	77.51	6.83	8.43	5.62	0	2.41	62.25	26.91	21.29	3.21	9.24	8.43	42.17	1.8
