"estci" "inst" "lugar.x" "nacido" "sexo" "gen" "fecing_f" "tipinst" "lugar.inst" "ult.fecha" "status"
"1" "7344" 84 1 1936-03-26 "M" "2003" "20030313" "Publico" 1 2003-12-19 2
"2" "8456" 2 1 1939-07-13 "M" "1993" "19930319" "Publico" NA NA 2
"3" "9089" 9 1 1960-01-01 "M" "2003" "20030408" NA NA NA 2
"4" "9649" 213 1 1947-09-15 "M" "2007" "20070321" "Publico-Otros" 1 2007-12-22 2
"5" "9997" 62 1 1945-01-15 "F" "1998" "19980305" "Publico" 1 1998-12-30 2
"6" "1009" 2 1 1944-10-27 "F" "1991" "19910821" "Publico" NA 1991-12-28 2
"7" "1009" 313 1 1944-12-31 "M" "2000" "20000211" "Publico-Otros" 1 2000-07-30 2
"8" "1013" 70 1 1945-08-25 "F" "1995" "19950213" "Publico" 1 2001-12-06 2
"9" "1050" 212 1 1946-10-23 "M" "2003" "20030318" "Publico-Otros" 1 2006-11-24 2
"10" "1059" 198 1 1948-01-01 "F" "2003" "20030729" NA NA 2004-04-15 2
"11" "1066" 62 1 1940-03-12 "F" "1998" "19980306" "Publico" 1 2000-02-19 2
"12" "1080" 2 NA 1947-12-11 "M" "2001" "20010222" "Publico" NA 2005-12-23 2
"13" "1100" 49 1 1948-04-15 "F" "2005" "20050221" "Privado" 1 2005-12-03 2
"14" "1114" 2 1 1948-04-25 "M" "1992" "19920229" "Publico" NA NA 2
"15" "1127" 64 1 1956-04-22 "M" "1995" "19950313" "Publico" 1 2004-12-21 3
"16" "1139" 2 1 1950-06-30 "F" "1990" "19900330" "Publico" NA 1990-12-31 2
"17" "1147" 2 1 1949-03-27 "M" "1998" "19980301" "Publico" NA 1998-08-13 2
"18" "1147" 2 1 1949-02-18 "F" "1994" "19940216" "Publico" NA 1996-02-28 2
"19" "1155" 82 1 1947-10-10 "F" "2000" "20000209" "Publico" 1 2001-12-22 2
"20" "1156" 5 1 1954-12-21 "F" "1993" "19930508" "Privado" NA 1994-02-05 2
"21" "1162" 2 1 1950-09-15 "M" "1991" "19910411" "Publico" NA 2006-11-28 2
"22" "1164" 215 1 1960-07-13 "M" "1996" "19960229" "Privado" 1 NA 2
"23" "1165" 2 1 1950-10-22 "F" "1991" "19910330" "Publico" NA 1998-12-18 2
"24" "1173" 2 1 1950-01-09 "M" "1990" "19900330" "Publico" NA 1991-03-31 2
"25" "1178" 82 11 1946-01-20 "F" "1996" "19960216" "Publico" 1 1996-12-21 2
"26" "1184" 18 1 1956-04-30 "M" "2000" "20000303" "Religioso" 1 NA 2
"27" "1193" 82 1 1962-02-12 "F" "2007" "20070226" "Publico" 1 2009-12-18 1
"28" "1197" 2 1 1949-12-16 "F" "1993" "19930217" "Publico" NA 1995-01-30 2
"29" "1207" 2 1 1957-10-21 "M" "1992" "19920229" "Publico" NA 2005-03-08 2
"30" "1209" 2 1 1955-09-24 "M" "1991" "19910322" "Publico" NA 1996-02-12 2
"31" "1216" 1 1 1951-09-25 "F" "1995" "19950426" "Extranjero" NA NA 2
"32" "1217" 65 1 1952-09-27 "F" "2003" "20030321" "Publico" 1 NA 2
"33" "1217" 194 1 1949-08-30 "M" "2005" "20050216" "UTU" NA 2006-12-22 2
"34" "1226" 61 1 1960-05-28 "M" "1996" "19960307" "Publico" 1 1996-12-14 2
"35" "1230" 319 1 1963-03-04 "M" "2003" "20030319" "Publico-Otros" 1 NA 2
"36" "1237" 99 1 1955-04-06 "M" "1995" "19950216" "Publico" 4 NA 2
"37" "1240" 62 1 1951-07-19 "M" "1999" "19990303" "Publico" 1 1999-12-22 2
"38" "1246" 2 1 1950-12-26 "M" "1992" "19920307" "Publico" NA 2010-03-05 1
"39" "1251" 56 1 1963-04-23 "F" "2002" "20020301" "Privado" 1 2003-02-22 2
"40" "1252" 72 1 1951-12-23 "M" "1997" "19970307" "Publico" 1 1998-12-05 2
"41" "1258" 2 1 1958-06-25 "F" "1994" "19940223" "Publico" NA 1995-02-04 2
"42" "1264" 5 1 1956-11-13 "F" "1995" "19950202" "Privado" NA NA 2
"43" "1266" 3 1 1962-02-26 "F" "1990" "19900330" "UTU" NA 1991-12-31 2
"44" "1269" 4 1 1955-09-21 "M" "1992" "19920226" "Publico-Otros" NA NA 2
"45" "1269" 62 1 1951-05-27 "M" "2001" "20010213" "Publico" 1 2008-12-06 1
"46" "1271" 2 1 1952-11-07 "M" "1991" "19910412" "Publico" NA 1991-12-31 2
"47" "1274" 2 1 1953-05-26 "M" "1992" "19920307" "Publico" NA 2007-12-15 2
"48" "1276" 2 1 1953-02-01 "M" "2009" "20090302" "Publico" NA 2010-01-27 1
"49" "1278" 66 1 1951-12-26 "F" "1997" "19970213" "Publico" 1 1997-12-29 2
"50" "1279" 2 1 1952-09-09 "F" "2000" "20000229" "Publico" NA 2001-03-09 2
