"." 	"history" 	"Freq" 	"Rcuad" 	"psF" 	"psT"
"1" 	-37 	-72 	2 	0.999942840158823 	169.842720242931 	NA
"2" 	-29 	-40 	2 	0.999872338258832 	153.572556558124 	NA
"3" 	-34 	-59 	2 	0.999801757330355 	149.801664566058 	NA
"4" 	-10 	-63 	2 	0.999718951390799 	142.284134297171 	NA
"5" 	-20 	-71 	2 	0.999628188736056 	135.784676405195 	NA
"6" 	-11 	-97 	2 	0.999533340028265 	131.1359929795 	NA
"7" 	-5 	-36 	2 	0.999419467750135 	124.236085748027 	NA
"8" 	-16 	-46 	2 	0.999300502040305 	119.049727997793 	NA
"9" 	1 	-54 	3 	0.999181528777182 	115.653794644608 	2.08141346568955
"10" 	3 	-81 	3 	0.999057375193432 	112.751859221338 	1.7590245187863
"11" 	-78 	-80 	2 	0.99893104771254 	110.53171976129 	NA
"12" 	-4 	-47 	2 	0.998804334272591 	108.959237705865 	NA
"13" 	-30 	-31 	2 	0.998655013641691 	106.071709253774 	NA
"14" 	6 	2 	4 	0.99850199610614 	103.686334437594 	1.85082519627457
"15" 	13 	-95 	3 	0.998311202330221 	99.629872798193 	1.27774557854679
"16" 	14 	-90 	5 	0.998106680971742 	95.8496372171554 	1.92721567243456
"17" 	-21 	-98 	2 	0.997899431390871 	92.8281238080009 	NA
"18" 	-77 	-102 	2 	0.997687974930464 	90.3184035973486 	NA
"19" 	8 	-100 	3 	0.997472148604238 	88.2031131272124 	1.81418937048793
"20" 	-19 	-39 	2 	0.997249073455564 	86.3128301498685 	NA
"21" 	4 	10 	5 	0.997020947069026 	84.6773514113211 	2.46587175028923
"22" 	-2 	-101 	2 	0.996777268877252 	82.9818056678266 	NA
"23" 	5 	-85 	3 	0.996530061836456 	81.5476567200488 	2.72366472199047
"24" 	-69 	-89 	2 	0.996274272625544 	80.2211895150627 	NA
"25" 	-27 	11 	3 	0.996011091211341 	79.0174456209387 	2.08332670251182
"26" 	-3 	-6 	2 	0.995745007969881 	78.0060221751656 	NA
"27" 	-25 	-67 	2 	0.995464166943018 	76.9558445710415 	NA
"28" 	-33 	-88 	2 	0.9951610382133 	75.7679629221646 	NA
"29" 	20 	-35 	3 	0.994853583704279 	74.7465220316813 	1.37825531373063
"30" 	-18 	-82 	2 	0.994542618981376 	73.8803012406804 	NA
"31" 	-55 	-68 	2 	0.994218365190449 	73.0247297471941 	NA
"32" 	-65 	-103 	2 	0.993888663088699 	72.2801411732425 	NA
"33" 	17 	-91 	3 	0.993555170293783 	71.6532894141899 	1.6091361609204
"34" 	-44 	-64 	2 	0.993187291752643 	70.8096161583483 	NA
"35" 	-50 	-51 	2 	0.992811830716462 	70.0595915485675 	NA
"36" 	-24 	-94 	2 	0.992406588250821 	69.1904693892568 	NA
"37" 	-42 	-70 	2 	0.991983162407195 	68.332630018836 	NA
"38" 	-32 	-48 	2 	0.991556594922302 	67.6144536552929 	NA
"39" 	-41 	-52 	2 	0.991125225626353 	67.0073525634279 	NA
"40" 	7 	9 	5 	0.99066865833773 	66.3535784960708 	4.72302222253535
"41" 	-61 	-73 	2 	0.990204091848619 	65.7844608183788 	NA
"42" 	-60 	-76 	2 	0.989729697809854 	65.2816286163736 	NA
"43" 	26 	27 	4 	0.989249669792736 	64.866838294343 	1.75537289134918
"44" 	-49 	-104 	2 	0.988764440906994 	64.5356334588803 	NA
"45" 	-26 	-74 	2 	0.988276844599612 	64.297575946972 	NA
"46" 	-43 	-93 	2 	0.98775279245916 	63.964797128745 	NA
"47" 	-17 	29 	4 	0.987202931589518 	63.6090555046697 	2.07287514153932
"48" 	37 	-66 	3 	0.986627018747429 	63.2379785637516 	1.36012681029737
"49" 	-62 	-84 	2 	0.986027888446813 	62.8724732380754 	NA
"50" 	30 	-99 	3 	0.985418393047507 	62.5736546719205 	1.96001460749665
"51" 	-23 	-28 	2 	0.984781621876245 	62.2681368233449 	NA
"52" 	-56 	-75 	2 	0.9841133507141 	61.9459354206024 	NA
"53" 	-14 	28 	3 	0.983401587724592 	61.5701272455292 	2.34805519809781
