"." 	"history" 	"Freq" 	"Rcuad" 	"psF" 	"psT"
"1" 	-182 	-199 	2 	1 	Inf 	NA
"2" 	-84 	-270 	2 	1 	Inf 	NA
"3" 	-65 	-202 	2 	1 	Inf 	NA
"4" 	-54 	-469 	2 	1 	Inf 	NA
"5" 	-13 	3 	3 	1 	Inf 	NA
"6" 	-113 	-306 	2 	0.99999995538051 	280731.480275325 	NA
"7" 	-254 	-480 	2 	0.999999901705129 	148983.867515006 	NA
"8" 	-169 	-347 	2 	0.999999827038088 	96966.3516951076 	NA
"9" 	-32 	-452 	2 	0.999999754531417 	77026.3882374221 	NA
"10" 	-10 	-304 	2 	0.999999684813464 	66794.1758857605 	NA
"11" 	-196 	-401 	2 	0.99999961509551 	60292.2095100026 	NA
"12" 	-315 	-478 	2 	0.999999527948069 	53744.0167425425 	NA
"13" 	-30 	-243 	2 	0.999999400887099 	45971.8966936054 	NA
"14" 	-370 	-456 	2 	0.999999255026292 	39899.3535687433 	NA
"15" 	-38 	-41 	2 	0.999971360098574 	1114.31876469045 	NA
"16" 	-21 	-422 	2 	0.999971203233179 	1184.65230488014 	NA
"17" 	-125 	-147 	2 	0.999943277592954 	640.359388589784 	NA
"18" 	-280 	-354 	2 	0.999915343134735 	455.257043715216 	NA
"19" 	9 	-255 	3 	0.999878136057473 	334.533436567711 	513.153846153846
"20" 	-111 	6 	3 	0.999877938228961 	352.325731090519 	4.43367935409458
"21" 	-299 	-387 	2 	0.999849981329729 	301.641328841196 	NA
"22" 	-179 	-398 	2 	0.999822024430497 	266.934063558447 	NA
"23" 	-16 	-364 	2 	0.999794036855366 	241.661178243509 	NA
"24" 	-191 	-369 	2 	0.99979377551488 	252.394866196077 	NA
"25" 	-345 	-475 	2 	0.99979349548432 	263.12549551982 	NA
"26" 	22 	-236 	3 	0.999746993609537 	223.830507024103 	1.66334164588529
"27" 	-409 	-439 	2 	0.999746714737724 	232.690338443208 	NA
"28" 	-292 	-426 	2 	0.999690931873406 	198.177052234136 	NA
"29" 	-326 	-462 	2 	0.999635143392963 	174.241842964832 	NA
"30" 	-60 	-319 	2 	0.999579361283966 	156.68156306348 	NA
"31" 	-269 	-412 	2 	0.999551246822428 	152.090948878534 	NA
"32" 	2 	11 	4 	0.999550933091638 	157.233706425505 	9
"33" 	-17 	30 	3 	0.999495135489763 	144.537769046634 	1.00027773920289
