id,mat,tact,nota,fecha,tgen,periodo,alect,Gen Facultad,Gen Economía
4,A10,C,0,7/28/2012,N,20122,2012,Gen 12,Eco 12
4,C10,C,0,8/4/2012,N,20122,2012,Gen 12,Eco 12
4,E10,C,0,7/21/2012,N,20122,2012,Gen 12,Eco 12
4,MC10,C,0,7/14/2012,N,20122,2012,Gen 12,Eco 12
7,A10,C,0,7/28/2012,N,20122,2012,Gen 12,Eco 12
7,C10,C,0,8/4/2012,N,20122,2012,Gen 12,Eco 12
7,E10,C,0,7/21/2012,N,20122,2012,Gen 12,Eco 12
32,A10,C,8,7/28/2012,N,20122,2012,Gen 12,Eco 12
32,C10,C,9,8/4/2012,N,20122,2012,Gen 12,Eco 12
32,C20,C,0,12/22/2012,N,20124,2012,Gen 12,Eco 12
32,C20,E,5,2/14/2013,N,20125,2012,Gen 12,Eco 12
32,E10,C,8,7/21/2012,N,20122,2012,Gen 12,Eco 12
32,E20,C,9,12/8/2012,N,20124,2012,Gen 12,Eco 12
32,E30,C,7,7/10/2013,N,20132,2013,Gen 12,Eco 12
32,E33,C,0,8/2/2014,N,20142,2014,Gen 12,Eco 12
32,E40,C,7,11/28/2013,N,20134,2013,Gen 12,Eco 12
32,E51,C,0,7/10/2014,N,20142,2014,Gen 12,Eco 12
32,E60,C,0,11/25/2014,N,20144,2014,Gen 12,Eco 12
32,E70,C,6,7/10/2015,N,20152,2015,Gen 12,Eco 12
32,E74,C,6,12/6/2014,N,20144,2014,Gen 12,Eco 12
32,E80,C,0,11/30/2015,N,20154,2015,Gen 12,Eco 12
32,MC10,C,0,7/14/2012,N,20122,2012,Gen 12,Eco 12
32,MC10,C,0,7/20/2013,N,20132,2013,Gen 12,Eco 12
32,MC10,C,6,11/20/2013,N,20134,2013,Gen 12,Eco 12
32,MC20,C,0,12/1/2012,N,20124,2012,Gen 12,Eco 12
32,MC20,C,0,12/13/2014,N,20144,2014,Gen 12,Eco 12
32,MC20,C,0,12/19/2015,N,20154,2015,Gen 12,Eco 12
32,MC20,E,0,3/5/2015,N,20146,2014,Gen 12,Eco 12
32,MC20,E,0,12/19/2015,N,20154,2015,Gen 12,Eco 12
32,MC20,E,5,2/13/2016,N,20155,2015,Gen 12,Eco 12
32,MC30,C,6,7/30/2014,N,20142,2014,Gen 12,Eco 12
32,MC31,C,0,7/26/2014,N,20142,2014,Gen 12,Eco 12
32,MC31,C,0,7/29/2015,N,20152,2015,Gen 12,Eco 12
32,MC31,C,0,7/13/2016,N,20162,2016,Gen 12,Eco 12
32,S20,C,7,12/19/2012,N,20124,2012,Gen 12,Eco 12
32,S30,C,0,7/25/2013,N,20132,2013,Gen 12,Eco 12
32,S30,E,8,2/27/2014,N,20136,2013,Gen 12,Eco 12
32,S40,C,12,12/10/2013,N,20134,2013,Gen 12,Eco 12
32,S43,C,5,12/20/2013,N,20134,2013,Gen 12,Eco 12
32,S44,C,0,11/27/2014,N,20144,2014,Gen 12,Eco 12
32,S46,C,0,12/9/2015,N,20154,2015,Gen 12,Eco 12
32,S90,C,0,12/12/2012,N,20124,2012,Gen 12,Eco 12
32,S90,E,12,2/2/2013,N,20125,2012,Gen 12,Eco 12
33,A10,C,0,7/28/2012,N,20122,2012,Gen 12,Eco 12
33,A10,C,0,8/3/2013,N,20132,2013,Gen 12,Eco 12
33,C10,C,0,8/4/2012,N,20122,2012,Gen 12,Eco 12
33,C10,C,0,7/13/2013,N,20132,2013,Gen 12,Eco 12
33,C10,C,0,7/19/2014,N,20142,2014,Gen 12,Eco 12
33,E10,C,0,7/12/2012,N,20122,2012,Gen 12,Eco 12
33,E10,C,0,7/27/2013,N,20132,2013,Gen 12,Eco 12
33,E10,C,0,8/2/2014,N,20142,2014,Gen 12,Eco 12
33,E10,C,0,7/11/2015,N,20152,2015,Gen 12,Eco 12
33,E10,E,0,8/2/2014,N,20142,2014,Gen 12,Eco 12
33,E20,C,0,12/14/2013,N,20134,2013,Gen 12,Eco 12
33,E20,C,0,12/20/2014,N,20144,2014,Gen 12,Eco 12
33,E20,C,0,11/28/2015,N,20154,2015,Gen 12,Eco 12
33,E20,E,0,3/1/2014,N,20136,2013,Gen 12,Eco 12
33,MC10,C,0,7/14/2012,N,20122,2012,Gen 12,Eco 12
33,MC10,C,0,7/20/2013,N,20132,2013,Gen 12,Eco 12
33,MC10,C,0,8/1/2015,N,20152,2015,Gen 12,Eco 12
33,MC20,C,0,12/1/2012,N,20124,2012,Gen 12,Eco 12
33,MC20,C,0,12/7/2013,N,20134,2013,Gen 12,Eco 12
33,MC20,C,0,12/13/2014,N,20144,2014,Gen 12,Eco 12
33,MC20,C,0,12/19/2015,N,20154,2015,Gen 12,Eco 12
33,S20,C,0,12/19/2012,N,20124,2012,Gen 12,Eco 12
33,S20,C,0,11/26/2013,N,20134,2013,Gen 12,Eco 12
33,S20,C,0,12/8/2014,N,20144,2014,Gen 12,Eco 12
33,S21,C,0,12/21/2012,N,20124,2012,Gen 12,Eco 12
33,S21,C,0,12/2/2013,N,20134,2013,Gen 12,Eco 12
33,S21,C,0,11/27/2014,N,20144,2014,Gen 12,Eco 12
33,S21,C,0,12/8/2015,N,20154,2015,Gen 12,Eco 12
33,S90,C,0,12/12/2012,N,20124,2012,Gen 12,Eco 12
33,S90,E,9,2/28/2013,N,20126,2012,Gen 12,Eco 12
34,A10,C,6,7/28/2012,N,20122,2012,Gen 12,Eco 12
