id,gen,plan,cred1,cred1y2,cred1.2y3,cred1234,nac_lug,otros_univ,ocup_rel,sit_labNT,horas,sexto,edad,edad_t,Xfem,Xhijos,Xocup,XeduP,XeduM,XocuP,XocuM,tratamiento,inst,EDA,MC.EDA,carr04,carr11,carr12,carr14,fecing4,fecing11,fecing12,fecing14,fecingEDA,julio,EDAoMCEDA,Xnac_lug,Xhoras,XeduM_num,XeduP_num,Xedu_H,Xsexto,cred1_prop,cred1_2012,cred1y2_prop,cred1y2_2012,cred1.2y3_prop,cred1.2y3_2012,cred1234_prop,cred1234_2012
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2014,3. Plan 12   ,10,10,10,10,Montevideo,Si posee,Está parcialmente relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Privada,40,t31y+,1,0,1,1,1,Asalariado,No trabaja,1,501,0,1,0,0,1,0,NA,NA,7/3/2014,NA,NA,0,1,Montevideo,Trabaja mas de 30 horas,1,1,1,Montevideo Privada,0.111111111,10,0.055555556,10,0.037037037,10,0.027777778,10
3,2015,3. Plan 12   ,30,30,30,30,Montevideo,No posee,No está relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Privada,39,t31y+,0,0,1,3,1,Asalariado,Asalariado,1,5,0,0,0,0,1,1,NA,NA,12/2/2015,12/2/2015,NA,0,0,Montevideo,Trabaja mas de 30 horas,1,3,3,Montevideo Privada,0.333333333,30,0.166666667,30,0.111111111,30,0.083333333,30
4,2012,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,Está muy relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Privada,33,t31y+,0,0,1,1,2,No trabaja,No trabaja,1,26,0,0,0,0,1,0,NA,NA,7/3/2012,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,2,1,2,Montevideo Privada,0,0,0,0,0,0,0,0
5,2014,3. Plan 12   ,100,180,250,250,Colonia,No posee,Está parcialmente relacionada,No corresponde,Trabaja más de 40 hrs semanales,Montevideo Publica,35,t31y+,0,0,1,1,3,Dirección,Asalariado,1,84,0,0,0,0,1,0,NA,NA,11/2/2014,NA,NA,0,0,Interior,Trabaja mas de 30 horas,3,1,3,Montevideo Publica,111.111.111.111.111,100,1,180,0.925925926,250,0.694444444,250
6,2013,3. Plan 12   ,40,60,60,80,Montevideo,No posee,No está relacionada,No corresponde,Trabaja más de 40 hrs semanales,Interior Publica,44,t31y+,1,1,1,1,2,No trabaja,No trabaja,1,140,0,0,0,0,1,0,NA,NA,21/02/2013,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,2,1,2,Interior Publica,0.444444444,40,0.333333333,60,0.222222222,60,0.222222222,80
7,2012,3. Plan 12   ,0,0,0,0,Montevideo,Si posee,Está muy relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Montevideo Publica,32,t31y+,0,0,1,1,1,Asalariado,Cuenta propia,1,668,0,0,0,0,1,0,NA,NA,16/02/2012,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,1,1,1,Montevideo Publica,0,0,0,0,0,0,0,0
8,2014,3. Plan 12   ,0,20,20,20,Montevideo,Si posee,Está relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Montevideo Publica,38,t31y+,1,1,1,2,1,Asalariado,Asalariado,1,65,0,0,0,1,1,0,NA,18/02/2014,18/02/2014,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,1,2,2,Montevideo Publica,0,0,0.111111111,20,0.074074074,20,0.055555556,20
9,2013,3. Plan 12   ,10,30,30,30,Montevideo,No posee,Está parcialmente relacionada,No corresponde,Trabaja de 31 a 40 hrs semanales,Montevideo Publica,39,t31y+,0,1,1,1,1,No trabaja,Cuenta propia,1,62,0,0,0,0,1,0,NA,NA,5/3/2013,NA,NA,0,0,Montevideo,Trabaja mas de 30 horas,1,1,1,Montevideo Publica,0.111111111,10,0.166666667,30,0.111111111,30,0.083333333,30
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
