"id","esco","esco.ec","esco.mc","esco.soc","cred1","cred2","cred3","cred4","prop.aprob.exam","gen","horas","sexto","edad","Xfem","Xhijos","Xocup","XeduP","XeduM","carr11","carr14","EDAoMCEDA","busca.trabajo","sexto.mvd","sexto.priv"
4,NA,NA,NA,NA,0,0,0,0,NA,2012,"Más de 40 horas","Montevideo Privada",33,0,0,1,"Bajo","Medio",0,0,0,0,1,1
6,2.58823529411765,3.8,1.2,1.75,40,20,0,20,0.285714285714286,2013,"Más de 40 horas","Interior Publica",44,1,1,1,"Bajo","Medio",0,0,0,0,0,0
7,NA,NA,NA,NA,0,0,0,0,NA,2012,"Entre 30 y 40 horas","Montevideo Publica",32,0,0,1,"Bajo","Bajo",0,0,0,0,1,0
9,6.5,8,0,9,10,20,0,0,0,2013,"Entre 30 y 40 horas","Montevideo Publica",39,0,1,1,"Bajo","Bajo",0,0,0,0,1,0
11,9.125,8,0,10,50,30,0,0,0,2013,"Entre 10 y 20 horas","Interior Publica",33,1,1,1,"Medio","Medio",0,0,0,0,0,0
16,3.3125,3.8,3.33333333333333,0,40,30,10,0,0.25,2013,"No corresponde","Interior Publica",30,0,0,0,"Medio","Medio",1,1,0,1,0,0
17,2.66666666666667,2.33333333333333,0,4.25,10,0,30,0,0.25,2013,"Más de 40 horas","Montevideo Publica",30,0,1,1,NA,"Alto",0,1,0,0,1,0
18,8.5,7,0,0,20,0,0,0,0,2013,"No corresponde","Montevideo Privada",30,0,0,0,"Alto","Alto",0,0,0,1,1,1
19,1.4,0,0,5.125,10,10,20,15,1,2013,"No corresponde","Montevideo Publica",29,0,0,0,"Medio","Medio",1,1,0,0,1,0
24,NA,NA,NA,NA,0,0,0,0,NA,2013,"Más de 40 horas","Montevideo Publica",39,0,1,1,"Medio","Bajo",0,0,0,0,1,0
27,0,0,0,0,0,0,0,0,NA,2013,"Más de 40 horas","Montevideo Publica",29,1,0,1,"Medio","Bajo",0,0,0,0,1,0
28,NA,NA,NA,NA,0,0,0,0,NA,2013,"Entre 20 y 30 horas","Montevideo Publica",39,1,1,1,"Bajo","Medio",0,0,0,0,1,0
29,7,7.33333333333333,8.5,6.5,20,40,30,20,0.181818181818182,2013,"Más de 40 horas","Interior Publica",29,0,1,1,"Bajo","Alto",1,0,0,0,0,0
32,6.72222222222222,7.16666666666667,3,8.8,70,60,20,20,0.1875,2012,"Más de 40 horas","Montevideo Publica",33,0,0,1,"Medio","Alto",0,0,0,0,1,0
33,3,0,0,9,10,0,0,0,1,2012,"Menos de 10 horas","Montevideo Publica",28,1,0,1,"Alto","Medio",0,0,0,0,1,0
34,4.8,6.5,2.16666666666667,7.5,40,30,30,20,0.363636363636364,2012,"Menos de 10 horas","Montevideo Publica",26,0,0,1,"Medio","Bajo",1,0,0,0,1,0
38,NA,NA,NA,NA,0,0,0,0,NA,2012,"Más de 40 horas","Montevideo Publica",27,1,1,1,"Medio","Medio",0,0,0,0,1,0
39,NA,NA,NA,NA,0,0,0,0,NA,2012,"Entre 30 y 40 horas","Montevideo Publica",25,1,0,1,"Bajo","Bajo",0,0,0,0,1,0
