"","unidad","udad_anio","year","loc","sexo","edad","educ","nombre","jefe","desemp","size","tparcial","multiemp","privado","publico","cpsl","cpcl","profytec","oficina","manual","indust","comercio","sfinan","sperson","subemp","precario","ingreso","grupos_agnes_single_5","grupos_agnes_single_13","grupos_agnes_complete_10","grupos_agnes_complete_17","grupos_agnes_complete_3","grupos_agnes_complete_8","grupos_agnes_average_3","grupos_agnes_average_7","grupos_agnes_average_13","grupos_agnes_ward_3","grupos_agnes_ward_4","grupos_agnes_ward_5","grupos_agnes_sing_cl_10","grupos_agnes_mcl_9","grupos_agnes_mal_10"
"1","u22","IH211995",1995,"I","H","2","1","IH21",78.63,4.74,38.52,4.71,7.33,47.29,22.76,12.43,13.47,0.52,1.77,51.28,15.7,14.45,0.98,5.43,4.12,17.72,2.12,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","u32","IM221995",1995,"I","M","2","2","IM22",13.16,9.33,37.24,26.87,11.88,47.05,23.37,3.43,18.66,11.24,24.64,12.68,14.43,24.24,4.63,17.54,6.54,18.02,2.05,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
"3","u29","IM121995",1995,"I","M","1","2","IM12",2.54,21.1,32.21,22.69,5.32,73.39,10.08,3.64,9.8,7.56,20.87,12.04,15.27,32.35,6.16,24.65,10.92,38.94,1.24,"1","3","3","3","1","2","2","2","3","2","2","2","3","2","3"
"4","u34","IM311995",1995,"I","M","3","1","IM31",33.2,4.23,52.76,38.81,7.32,47.65,6.22,5.66,32.18,1.66,3.45,21.27,21.55,23.76,0.55,38.54,3.45,24.59,1.3,"2","4","2","4","1","1","2","3","4","2","3","3","2","1","4"
"5","u25","IH311995",1995,"I","H","3","1","IH31",92.68,3.5,50.1,12.83,4.54,35.26,21.52,14.45,22.23,0.78,5.96,41.09,14.97,14.84,1.62,10.3,3.31,10.43,2.1,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6","u23","IH221995",1995,"I","H","2","2","IH22",79.61,2.91,36.64,4.56,12.87,38.95,28.97,8.37,15.58,4.1,13.79,40.68,19.56,16.45,5.14,6.98,3.23,8.08,2.89,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"7","u21","IH131995",1995,"I","H","1","3","IH13",16.81,7.56,37.27,21.82,18.18,42.73,27.27,4.55,19.09,34.55,24.55,7.27,12.73,14.55,14.55,0,7.27,2.73,3.19,"1","5","4","5","2","3","3","4","5","2","2","2","4","4","5"
"8","u13","MM211995",1995,"M","M","2","1","MM21",16.19,13.46,29.2,25.35,9.09,71.85,5.59,4.02,13.99,1.75,4.37,17.83,20.8,17.48,1.22,43.36,12.41,33.22,1.92,"2","4","2","4","1","1","2","3","4","2","3","3","2","5","4"
"9","u28","IM111995",1995,"I","M","1","1","IM11",6.92,19.62,33.01,27.27,3.35,80.38,0.96,4.78,11.96,1.44,3.83,11.96,11.48,20.1,0.96,55.98,10.53,69.38,0.99,"2","4","5","6","3","4","2","3","6","2","3","3","5","5","4"
"10","u8","MH321995",1995,"M","H","3","2","MH32",92.13,3.69,38.19,10.47,11.11,36.65,22.09,8.05,17.24,4.98,17.24,23.24,20.05,21.33,14.05,6.77,2.3,3.07,4.48,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
